Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Linear,OverlapGauss,90-10,0.9,OGC,Linear,0.9532497149372862,0.918
Non-Linear,OverlapGauss,90-10,0.9,OGC,Kernel,0.9741594887468741,0.9535
Non-Linear,OverlapGauss,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,OverlapGauss,90-10,0.9,SCW,Kernel,0.9475455820476858,0.9065
Non-Linear,OverlapGauss,90-10,0.9,RDA,Linear,0.9194257251684734,0.8625
Non-Linear,OverlapGauss,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,OverlapGauss,90-10,0.9,AdaRDA,Linear,0.9307045520440708,0.8805
Non-Linear,OverlapGauss,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,Donut,50-50,0.5,PA,Linear,0.4919517102615694,0.495
Non-Linear,Donut,50-50,0.5,PA,Kernel,0.7482376636455186,0.75
Non-Linear,Donut,50-50,0.5,Perceptron,Linear,0.501996007984032,0.501
Non-Linear,Donut,50-50,0.5,Perceptron,Kernel,0.7550200803212851,0.756
Non-Linear,Donut,50-50,0.5,AROW,Linear,0.5053974484789009,0.496
Non-Linear,Donut,50-50,0.5,AROW,Kernel,0.6889903602232369,0.6935
Non-Linear,Donut,50-50,0.5,OGC,Linear,0.5106805762543467,0.5075
Non-Linear,Donut,50-50,0.5,OGC,Kernel,0.7542627883650953,0.755
Non-Linear,Donut,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,Donut,50-50,0.5,SCW,Kernel,0.6576182136602452,0.609
Non-Linear,Donut,50-50,0.5,RDA,Linear,0.6666666666666666,0.5
Non-Linear,Donut,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,Donut,50-50,0.5,AdaRDA,Linear,0.6666666666666666,0.5
Non-Linear,Donut,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,Donut,70-30,0.7,PA,Linear,0.6230045026606631,0.5395
Non-Linear,Donut,70-30,0.7,PA,Kernel,0.854688618468146,0.797
Non-Linear,Donut,70-30,0.7,Perceptron,Linear,0.6671905697445972,0.5765
Non-Linear,Donut,70-30,0.7,Perceptron,Kernel,0.8568360773085183,0.8
Non-Linear,Donut,70-30,0.7,AROW,Linear,0.5867454622203462,0.5105
Non-Linear,Donut,70-30,0.7,AROW,Kernel,0.7945945945945946,0.696
Non-Linear,Donut,70-30,0.7,OGC,Linear,0.7406042741341193,0.648
Non-Linear,Donut,70-30,0.7,OGC,Kernel,0.8586762075134168,0.8025
Non-Linear,Donut,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,Donut,70-30,0.7,SCW,Kernel,0.7734537873523281,0.674
Non-Linear,Donut,70-30,0.7,RDA,Linear,0.8235294117647058,0.7
Non-Linear,Donut,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,Donut,70-30,0.7,AdaRDA,Linear,0.8235294117647058,0.7
Non-Linear,Donut,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,Donut,90-10,0.9,PA,Linear,0.6595820049592632,0.5195
Non-Linear,Donut,90-10,0.9,PA,Kernel,0.9542556140837261,0.9175
Non-Linear,Donut,90-10,0.9,Perceptron,Linear,0.7202159973000337,0.5855
Non-Linear,Donut,90-10,0.9,Perceptron,Kernel,0.9472515269294837,0.905
Non-Linear,Donut,90-10,0.9,AROW,Linear,0.6708507670850767,0.528
Non-Linear,Donut,90-10,0.9,AROW,Kernel,0.9310915104740904,0.875
Non-Linear,Donut,90-10,0.9,OGC,Linear,0.8344532681734881,0.729
Non-Linear,Donut,90-10,0.9,OGC,Kernel,0.9458784346378019,0.9025
Non-Linear,Donut,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,Donut,90-10,0.9,SCW,Kernel,0.8200913242009132,0.7045
Non-Linear,Donut,90-10,0.9,RDA,Linear,0.8541423570595099,0.75
Non-Linear,Donut,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,Donut,90-10,0.9,AdaRDA,Linear,0.8542274052478134,0.75
Non-Linear,Donut,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,Circles,50-50,0.5,PA,Linear,0.505712866368604,0.5025
Non-Linear,Circles,50-50,0.5,PA,Kernel,0.7699248120300752,0.7705
Non-Linear,Circles,50-50,0.5,Perceptron,Linear,0.5034965034965035,0.503
Non-Linear,Circles,50-50,0.5,Perceptron,Kernel,0.7877571500250878,0.7885
Non-Linear,Circles,50-50,0.5,AROW,Linear,0.5178026449643948,0.526
