Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Linear,SineWave,70-30,0.7,AdaRDA,Linear,0.8352059925093633,0.736
Non-Linear,SineWave,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,SineWave,90-10,0.9,PA,Linear,0.7355623100303952,0.6085
Non-Linear,SineWave,90-10,0.9,PA,Kernel,0.9792070973107846,0.9625
Non-Linear,SineWave,90-10,0.9,Perceptron,Linear,0.892760588765395,0.8215
Non-Linear,SineWave,90-10,0.9,Perceptron,Kernel,0.9755826859045506,0.956
Non-Linear,SineWave,90-10,0.9,AROW,Linear,0.914572864321608,0.8555
Non-Linear,SineWave,90-10,0.9,AROW,Kernel,0.9731970157502072,0.9515
Non-Linear,SineWave,90-10,0.9,OGC,Linear,0.943884892086331,0.9025
Non-Linear,SineWave,90-10,0.9,OGC,Kernel,0.9791840133222315,0.9625
Non-Linear,SineWave,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,SineWave,90-10,0.9,SCW,Kernel,0.9655742219774167,0.9375
Non-Linear,SineWave,90-10,0.9,RDA,Linear,0.8670520231213873,0.7815
Non-Linear,SineWave,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,SineWave,90-10,0.9,AdaRDA,Linear,0.8786510087323095,0.7985
Non-Linear,SineWave,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,Spirals,50-50,0.5,PA,Linear,0.5157107231920199,0.5145
Non-Linear,Spirals,50-50,0.5,PA,Kernel,0.7515090543259557,0.753
Non-Linear,Spirals,50-50,0.5,Perceptron,Linear,0.4992343032159265,0.5095
Non-Linear,Spirals,50-50,0.5,Perceptron,Kernel,0.7761044176706827,0.777
Non-Linear,Spirals,50-50,0.5,AROW,Linear,0.5235235235235235,0.524
Non-Linear,Spirals,50-50,0.5,AROW,Kernel,0.8155452436194895,0.841
Non-Linear,Spirals,50-50,0.5,OGC,Linear,0.4917043740573152,0.4945
Non-Linear,Spirals,50-50,0.5,OGC,Kernel,0.7737079779227296,0.7745
Non-Linear,Spirals,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,Spirals,50-50,0.5,SCW,Kernel,0.6115191341321995,0.4975
Non-Linear,Spirals,50-50,0.5,RDA,Linear,0.6600884654644437,0.5005
Non-Linear,Spirals,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,Spirals,50-50,0.5,AdaRDA,Linear,0.6600884654644437,0.5005
Non-Linear,Spirals,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,Spirals,70-30,0.7,PA,Linear,0.600580671920365,0.5185
Non-Linear,Spirals,70-30,0.7,PA,Kernel,0.849266022198353,0.7895
Non-Linear,Spirals,70-30,0.7,Perceptron,Linear,0.6595995288574794,0.5665
Non-Linear,Spirals,70-30,0.7,Perceptron,Kernel,0.8639942734430923,0.81
Non-Linear,Spirals,70-30,0.7,AROW,Linear,0.6109510086455331,0.5275
Non-Linear,Spirals,70-30,0.7,AROW,Kernel,0.8210596467844052,0.7315
Non-Linear,Spirals,70-30,0.7,OGC,Linear,0.7521929824561403,0.661
Non-Linear,Spirals,70-30,0.7,OGC,Kernel,0.8503937007874016,0.791
Non-Linear,Spirals,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,Spirals,70-30,0.7,SCW,Kernel,0.789776357827476,0.671
Non-Linear,Spirals,70-30,0.7,RDA,Linear,0.8085490668272125,0.682
Non-Linear,Spirals,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,Spirals,70-30,0.7,AdaRDA,Linear,0.8080747213015969,0.6815
Non-Linear,Spirals,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,Spirals,90-10,0.9,PA,Linear,0.6182737450343084,0.4715
Non-Linear,Spirals,90-10,0.9,PA,Kernel,0.9384359400998337,0.889
Non-Linear,Spirals,90-10,0.9,Perceptron,Linear,0.7012006861063464,0.5645
Non-Linear,Spirals,90-10,0.9,Perceptron,Kernel,0.9349276974416018,0.883
Non-Linear,Spirals,90-10,0.9,AROW,Linear,0.6762438682550805,0.538
Non-Linear,Spirals,90-10,0.9,AROW,Kernel,0.9457037427517132,0.897
Non-Linear,Spirals,90-10,0.9,OGC,Linear,0.8399511301160659,0.738
Non-Linear,Spirals,90-10,0.9,OGC,Kernel,0.9396719488462608,0.8915
Non-Linear,Spirals,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,Spirals,90-10,0.9,SCW,Kernel,0.850999394306481,0.754
Non-Linear,Spirals,90-10,0.9,RDA,Linear,0.8504398826979472,0.745
Non-Linear,Spirals,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,Spirals,90-10,0.9,AdaRDA,Linear,0.8570595099183197,0.755
Non-Linear,Spirals,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,SwissRoll,50-50,0.5,PA,Linear,0.8776418242491657,0.89
Non-Linear,SwissRoll,50-50,0.5,PA,Kernel,0.9869608826479438,0.987
Non-Linear,SwissRoll,50-50,0.5,Perceptron,Linear,0.8179907524169819,0.7835
Non-Linear,SwissRoll,50-50,0.5,Perceptron,Kernel,0.980980980980981,0.981
Non-Linear,SwissRoll,50-50,0.5,AROW,Linear,0.9722772277227723,0.972
Non-Linear,SwissRoll,50-50,0.5,AROW,Kernel,0.9844767150726089,0.9845
Non-Linear,SwissRoll,50-50,0.5,OGC,Linear,0.9528585757271816,0.953
Non-Linear,SwissRoll,50-50,0.5,OGC,Kernel,0.980980980980981,0.981
Non-Linear,SwissRoll,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,SwissRoll,50-50,0.5,SCW,Kernel,0.9845540607872446,0.9845
Non-Linear,SwissRoll,50-50,0.5,RDA,Linear,0.7785288270377734,0.7215
Non-Linear,SwissRoll,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,SwissRoll,50-50,0.5,AdaRDA,Linear,0.7482068705171763,0.6665
Non-Linear,SwissRoll,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,SwissRoll,70-30,0.7,PA,Linear,0.9093725793958172,0.883
Non-Linear,SwissRoll,70-30,0.7,PA,Kernel,0.994269340974212,0.992
Non-Linear,SwissRoll,70-30,0.7,Perceptron,Linear,0.9103448275862069,0.8635
Non-Linear,SwissRoll,70-30,0.7,Perceptron,Kernel,0.9892627057981389,0.985
Non-Linear,SwissRoll,70-30,0.7,AROW,Linear,0.9848812095032398,0.979
Non-Linear,SwissRoll,70-30,0.7,AROW,Kernel,0.9921540656205421,0.989
Non-Linear,SwissRoll,70-30,0.7,OGC,Linear,0.975330711476582,0.9655
Non-Linear,SwissRoll,70-30,0.7,OGC,Kernel,0.9885550786838341,0.984
Non-Linear,SwissRoll,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,SwissRoll,70-30,0.7,SCW,Kernel,0.9874955341193283,0.9825
Non-Linear,SwissRoll,70-30,0.7,RDA,Linear,0.8316890881913304,0.7185
Non-Linear,SwissRoll,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,SwissRoll,70-30,0.7,AdaRDA,Linear,0.8504129703273172,0.7555
Non-Linear,SwissRoll,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,SwissRoll,90-10,0.9,PA,Linear,0.9519720955191844,0.9105
Non-Linear,SwissRoll,90-10,0.9,PA,Kernel,0.9930497636919655,0.9875
Non-Linear,SwissRoll,90-10,0.9,Perceptron,Linear,0.9593976875504168,0.9245
Non-Linear,SwissRoll,90-10,0.9,Perceptron,Kernel,0.9866592551417455,0.976
Non-Linear,SwissRoll,90-10,0.9,AROW,Linear,0.9856540084388186,0.9745
Non-Linear,SwissRoll,90-10,0.9,AROW,Kernel,0.9922222222222222,0.986
Non-Linear,SwissRoll,90-10,0.9,OGC,Linear,0.9855233853006682,0.974
Non-Linear,SwissRoll,90-10,0.9,OGC,Kernel,0.9875034712579839,0.9775
Non-Linear,SwissRoll,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,SwissRoll,90-10,0.9,SCW,Kernel,0.9838709677419355,0.971
Non-Linear,SwissRoll,90-10,0.9,RDA,Linear,0.9518201284796574,0.91
Non-Linear,SwissRoll,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,SwissRoll,90-10,0.9,AdaRDA,Linear,0.9689034369885434,0.943
Non-Linear,SwissRoll,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,XOR,50-50,0.5,PA,Linear,0.49950248756218907,0.497
Non-Linear,XOR,50-50,0.5,PA,Kernel,0.9287863590772317,0.929
Non-Linear,XOR,50-50,0.5,Perceptron,Linear,0.5223505775991963,0.5245
Non-Linear,XOR,50-50,0.5,Perceptron,Kernel,0.9569138276553106,0.957
Non-Linear,XOR,50-50,0.5,AROW,Linear,0.47663071391884954,0.4905
Non-Linear,XOR,50-50,0.5,AROW,Kernel,0.9294871794871795,0.934
Non-Linear,XOR,50-50,0.5,OGC,Linear,0.5062034739454094,0.5025
Non-Linear,XOR,50-50,0.5,OGC,Kernel,0.9488465396188566,0.949
Non-Linear,XOR,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,XOR,50-50,0.5,SCW,Kernel,0.6032855644879412,0.4325
Non-Linear,XOR,50-50,0.5,RDA,Linear,0.6598984771573604,0.4975
Non-Linear,XOR,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,XOR,50-50,0.5,AdaRDA,Linear,0.6598984771573604,0.4975
Non-Linear,XOR,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,XOR,70-30,0.7,PA,Linear,0.5826050769870995,0.4985
Non-Linear,XOR,70-30,0.7,PA,Kernel,0.946690518783542,0.9255
Non-Linear,XOR,70-30,0.7,Perceptron,Linear,0.670090873172659,0.5825
Non-Linear,XOR,70-30,0.7,Perceptron,Kernel,0.9660107334525939,0.9525
Non-Linear,XOR,70-30,0.7,AROW,Linear,0.5821083578328433,0.5025
Non-Linear,XOR,70-30,0.7,AROW,Kernel,0.9468960359012715,0.929
Non-Linear,XOR,70-30,0.7,OGC,Linear,0.7457006952067325,0.6525
Non-Linear,XOR,70-30,0.7,OGC,Kernel,0.9678111587982833,0.955
Non-Linear,XOR,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,XOR,70-30,0.7,SCW,Kernel,0.7537406483790524,0.605
Non-Linear,XOR,70-30,0.7,RDA,Linear,0.8185053380782918,0.694
Non-Linear,XOR,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,XOR,70-30,0.7,AdaRDA,Linear,0.8185053380782918,0.694
Non-Linear,XOR,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,XOR,90-10,0.9,PA,Linear,0.610989010989011,0.469
Non-Linear,XOR,90-10,0.9,PA,Kernel,0.9574881911642122,0.9235
Non-Linear,XOR,90-10,0.9,Perceptron,Linear,0.7104194857916103,0.572
Non-Linear,XOR,90-10,0.9,Perceptron,Kernel,0.9577543079488605,0.924
Non-Linear,XOR,90-10,0.9,AROW,Linear,0.6867428175839391,0.5475
Non-Linear,XOR,90-10,0.9,AROW,Kernel,0.9465085638998683,0.8985
Non-Linear,XOR,90-10,0.9,OGC,Linear,0.8424908424908425,0.742
Non-Linear,XOR,90-10,0.9,OGC,Kernel,0.9569324812447902,0.9225
Non-Linear,XOR,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,XOR,90-10,0.9,SCW,Kernel,0.9303222252822914,0.8735
Non-Linear,XOR,90-10,0.9,RDA,Linear,0.8288288288288288,0.715
Non-Linear,XOR,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,XOR,90-10,0.9,AdaRDA,Linear,0.8176862507571169,0.699
Non-Linear,XOR,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
