Dataset,Algorithm,Precision,Recall,FNR,FPR,F1
NonEnc_smartphone,RDA,0.7707,0.9812,0.0188,0.8087,0.8633
OutFlash_desktop,RDA,0.6188,0.9409,0.0591,0.3817,0.7466
OutFlash_smartphone,RDA,0.5934,0.8638,0.1362,0.6744,0.7035
OutTLS_desktop,RDA,0.7049,0.8985,0.1015,0.1486,0.7900
OutTLS_smartphone,RDA,0.5713,0.9278,0.0722,0.5090,0.7072
P2P_desktop,RDA,0.7197,0.9562,0.0438,0.2778,0.8213
P2P_smartphone,RDA,0.6173,0.7249,0.2751,0.7369,0.6668
Phishing_desktop,RDA,0.7991,0.9542,0.0458,0.6891,0.8698
Phishing_smartphone,RDA,0.9415,0.9541,0.0459,0.6174,0.9477
CreditFraud_kaggle,SCW,0.0013,1.0000,0.0000,1.0000,0.0026
Crypto_desktop,SCW,0.2191,1.0000,0.0000,1.0000,0.3594
Crypto_smartphone,SCW,0.2344,1.0000,0.0000,1.0000,0.3797
NonEnc_desktop,SCW,0.6848,1.0000,0.0000,1.0000,0.8129
NonEnc_smartphone,SCW,0.7347,1.0000,0.0000,1.0000,0.8471
OutFlash_desktop,SCW,0.3970,1.0000,0.0000,1.0000,0.5684
OutFlash_smartphone,SCW,0.5326,1.0000,0.0000,1.0000,0.6950
OutTLS_desktop,SCW,0.2832,1.0000,0.0000,1.0000,0.4413
OutTLS_smartphone,SCW,0.4223,1.0000,0.0000,1.0000,0.5938
P2P_desktop,SCW,0.4273,1.0000,0.0000,1.0000,0.5987
P2P_smartphone,SCW,0.6212,1.0000,0.0000,1.0000,0.7663
Phishing_desktop,SCW,0.7417,1.0000,0.0000,1.0000,0.8517
Phishing_smartphone,SCW,0.9123,1.0000,0.0000,1.0000,0.9542
