Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,OverlapGauss,90-10,0.9,OGC,Online,0.9532497149372862,0.918
Non-Separable,OverlapGauss,90-10,0.9,OGC,Kernel,0.9741594887468741,0.9535
Non-Separable,OverlapGauss,90-10,0.9,SCW,Online,0.9541021227768216,0.92
Non-Separable,OverlapGauss,90-10,0.9,SCW,Kernel,0.9654800431499461,0.936
Non-Separable,OverlapGauss,90-10,0.9,RDA,Online,0.9322429906542056,0.884
Non-Separable,OverlapGauss,90-10,0.9,RDA,Kernel,0.9564753004005341,0.9185
Non-Separable,OverlapGauss,90-10,0.9,AdaRDA,Online,0.9307045520440708,0.8805
Non-Separable,OverlapGauss,90-10,0.9,AdaRDA,Kernel,0.955709711846318,0.917
Non-Separable,Donut,50-50,0.5,PA,Online,0.4919517102615694,0.495
Non-Separable,Donut,50-50,0.5,PA,Kernel,0.7550200803212851,0.756
Non-Separable,Donut,50-50,0.5,Perceptron,Online,0.501996007984032,0.501
Non-Separable,Donut,50-50,0.5,Perceptron,Kernel,0.7550200803212851,0.756
Non-Separable,Donut,50-50,0.5,AROW,Online,0.5053974484789009,0.496
Non-Separable,Donut,50-50,0.5,AROW,Kernel,0.6889903602232369,0.6935
Non-Separable,Donut,50-50,0.5,OGC,Online,0.5106805762543467,0.5075
Non-Separable,Donut,50-50,0.5,OGC,Kernel,0.7542627883650953,0.755
Non-Separable,Donut,50-50,0.5,SCW,Online,0.4987506246876562,0.4985
Non-Separable,Donut,50-50,0.5,SCW,Kernel,0.6940874035989717,0.762
Non-Separable,Donut,50-50,0.5,RDA,Online,0.49554013875123887,0.491
Non-Separable,Donut,50-50,0.5,RDA,Kernel,0.46977811782708495,0.307
Non-Separable,Donut,50-50,0.5,AdaRDA,Online,0.6666666666666666,0.5
Non-Separable,Donut,50-50,0.5,AdaRDA,Kernel,0.4686064318529862,0.306
Non-Separable,Donut,70-30,0.7,PA,Online,0.6230045026606631,0.5395
Non-Separable,Donut,70-30,0.7,PA,Kernel,0.8568360773085183,0.8
Non-Separable,Donut,70-30,0.7,Perceptron,Online,0.6671905697445972,0.5765
Non-Separable,Donut,70-30,0.7,Perceptron,Kernel,0.8568360773085183,0.8
Non-Separable,Donut,70-30,0.7,AROW,Online,0.5867454622203462,0.5105
Non-Separable,Donut,70-30,0.7,AROW,Kernel,0.7945945945945946,0.696
Non-Separable,Donut,70-30,0.7,OGC,Online,0.7406042741341193,0.648
Non-Separable,Donut,70-30,0.7,OGC,Kernel,0.8586762075134168,0.8025
Non-Separable,Donut,70-30,0.7,SCW,Online,0.5836446658364467,0.4985
Non-Separable,Donut,70-30,0.7,SCW,Kernel,0.8230791875183986,0.6995
Non-Separable,Donut,70-30,0.7,RDA,Online,0.6219110378912686,0.541
Non-Separable,Donut,70-30,0.7,RDA,Kernel,0.6793785310734464,0.546
Non-Separable,Donut,70-30,0.7,AdaRDA,Online,0.8235294117647058,0.7
Non-Separable,Donut,70-30,0.7,AdaRDA,Kernel,0.7844118698605649,0.6985
Non-Separable,Donut,90-10,0.9,PA,Online,0.6595820049592632,0.5195
Non-Separable,Donut,90-10,0.9,PA,Kernel,0.9472515269294837,0.905
Non-Separable,Donut,90-10,0.9,Perceptron,Online,0.7202159973000337,0.5855
Non-Separable,Donut,90-10,0.9,Perceptron,Kernel,0.9472515269294837,0.905
Non-Separable,Donut,90-10,0.9,AROW,Online,0.6708507670850767,0.528
Non-Separable,Donut,90-10,0.9,AROW,Kernel,0.9310915104740904,0.875
Non-Separable,Donut,90-10,0.9,OGC,Online,0.8344532681734881,0.729
Non-Separable,Donut,90-10,0.9,OGC,Kernel,0.9458784346378019,0.9025
Non-Separable,Donut,90-10,0.9,SCW,Online,0.6491290437255599,0.5065
Non-Separable,Donut,90-10,0.9,SCW,Kernel,0.9473684210526315,0.9
Non-Separable,Donut,90-10,0.9,RDA,Online,0.7130257801899593,0.577
Non-Separable,Donut,90-10,0.9,RDA,Kernel,0.9476177941563569,0.9005
Non-Separable,Donut,90-10,0.9,AdaRDA,Online,0.8542274052478134,0.75
Non-Separable,Donut,90-10,0.9,AdaRDA,Kernel,0.94681411269089,0.899
Non-Separable,Circles,50-50,0.5,PA,Online,0.505712866368604,0.5025
Non-Separable,Circles,50-50,0.5,PA,Kernel,0.7877571500250878,0.7885
Non-Separable,Circles,50-50,0.5,Perceptron,Online,0.5034965034965035,0.503
Non-Separable,Circles,50-50,0.5,Perceptron,Kernel,0.7877571500250878,0.7885
Non-Separable,Circles,50-50,0.5,AROW,Online,0.5178026449643948,0.526
Non-Separable,Circles,50-50,0.5,AROW,Kernel,0.762962962962963,0.776
Non-Separable,Circles,50-50,0.5,OGC,Online,0.49876053544868615,0.4945
Non-Separable,Circles,50-50,0.5,OGC,Kernel,0.7737079779227296,0.7745
Non-Separable,Circles,50-50,0.5,SCW,Online,0.49442755825734547,0.501
Non-Separable,Circles,50-50,0.5,SCW,Kernel,0.7134652201659222,0.7755
Non-Separable,Circles,50-50,0.5,RDA,Online,0.5047858942065491,0.5085
Non-Separable,Circles,50-50,0.5,RDA,Kernel,0.45857418111753373,0.2975
Non-Separable,Circles,50-50,0.5,AdaRDA,Online,0.6666666666666666,0.5
Non-Separable,Circles,50-50,0.5,AdaRDA,Kernel,0.4555984555984556,0.295
Non-Separable,Circles,70-30,0.7,PA,Online,0.5973597359735974,0.512
Non-Separable,Circles,70-30,0.7,PA,Kernel,0.8600071607590405,0.8045
Non-Separable,Circles,70-30,0.7,Perceptron,Online,0.6736678335278102,0.5805
Non-Separable,Circles,70-30,0.7,Perceptron,Kernel,0.8600071607590405,0.8045
Non-Separable,Circles,70-30,0.7,AROW,Online,0.5858585858585859,0.508
Non-Separable,Circles,70-30,0.7,AROW,Kernel,0.8235294117647058,0.745
