Dataset,Algorithm,Shuffle,F1
HeartDisease_UCI,K-PA,8,0.7848
HeartDisease_UCI,K-PA,9,0.7816
HeartDisease_UCI,K-PA,10,0.6842
HeartDisease_UCI,K-PA,11,0.7692
HeartDisease_UCI,K-PA,12,0.8000
HeartDisease_UCI,K-PA,13,0.7442
HeartDisease_UCI,K-PA,14,0.7447
HeartDisease_UCI,K-PA,15,0.7579
HeartDisease_UCI,K-PA,16,0.7711
HeartDisease_UCI,K-PA,17,0.7945
HeartDisease_UCI,K-PA,18,0.7356
HeartDisease_UCI,K-PA,19,0.7126
HeartDisease_UCI,K-PA,20,0.7727
HeartDisease_UCI,K-PA,21,0.7595
HeartDisease_UCI,K-PA,22,0.7123
HeartDisease_UCI,K-PA,23,0.7895
HeartDisease_UCI,K-PA,24,0.7250
HeartDisease_UCI,K-PA,25,0.8043
HeartDisease_UCI,K-PA,26,0.6750
HeartDisease_UCI,K-PA,27,0.8817
HeartDisease_UCI,K-PA,28,0.7733
HeartDisease_UCI,K-PA,29,0.7727
HeartDisease_UCI,K-PA,30,0.7595
HeartDisease_UCI,K-PA,31,0.7317
HeartDisease_UCI,K-PA,32,0.7470
HeartDisease_UCI,K-PA,33,0.7436
HeartDisease_UCI,K-PA,34,0.7879
HeartDisease_UCI,K-PA,35,0.7778
HeartDisease_UCI,K-PA,36,0.7857
HeartDisease_UCI,K-PA,37,0.6667
HeartDisease_UCI,K-PA,38,0.7470
HeartDisease_UCI,K-PA,39,0.8182
HeartDisease_UCI,K-PA,40,0.7407
HeartDisease_UCI,K-PA,41,0.7442
HeartDisease_UCI,K-PA,42,0.7826
HeartDisease_UCI,K-PA,43,0.7160
HeartDisease_UCI,K-PA,44,0.7246
HeartDisease_UCI,K-PA,45,0.7606
HeartDisease_UCI,K-PA,46,0.7778
HeartDisease_UCI,K-PA,47,0.7470
HeartDisease_UCI,K-PA,48,0.7750
HeartDisease_UCI,K-PA,49,0.7407
HeartDisease_UCI,K-PA,50,0.6988
HeartDisease_UCI,K-PA,51,0.7816
HeartDisease_UCI,K-PA,52,0.7671
HeartDisease_UCI,K-PA,53,0.7529
HeartDisease_UCI,K-PA,54,0.0000
HeartDisease_UCI,K-PA,55,0.7921
HeartDisease_UCI,K-PA,56,0.7179
HeartDisease_UCI,K-PA,57,0.6753
HeartDisease_UCI,K-PA,58,0.8000
HeartDisease_UCI,K-PA,59,0.6769
HeartDisease_UCI,K-PA,60,0.7536
HeartDisease_UCI,K-PA,61,0.7467
HeartDisease_UCI,K-PA,62,0.7674
HeartDisease_UCI,K-PA,63,0.7436
HeartDisease_UCI,K-PA,64,0.7164
HeartDisease_UCI,K-PA,65,0.7654
HeartDisease_UCI,K-PA,66,0.7368
HeartDisease_UCI,K-PA,67,0.8500
HeartDisease_UCI,K-PA,68,0.7619
HeartDisease_UCI,K-PA,69,0.7765
HeartDisease_UCI,K-PA,70,0.7692
HeartDisease_UCI,K-PA,71,0.7857
HeartDisease_UCI,K-PA,72,0.7500
HeartDisease_UCI,K-PA,73,0.7640
HeartDisease_UCI,K-PA,74,0.6750
HeartDisease_UCI,K-PA,75,0.8222
HeartDisease_UCI,K-PA,76,0.8235
HeartDisease_UCI,K-PA,77,0.7529
HeartDisease_UCI,K-PA,78,0.7556
HeartDisease_UCI,K-PA,79,0.8608
HeartDisease_UCI,K-PA,80,0.7229
HeartDisease_UCI,K-PA,81,0.6216
HeartDisease_UCI,K-PA,82,0.8000
HeartDisease_UCI,K-PA,83,0.7294
HeartDisease_UCI,K-PA,84,0.7848
HeartDisease_UCI,K-PA,85,0.7778
HeartDisease_UCI,K-PA,86,0.7632
HeartDisease_UCI,K-PA,87,0.7692
HeartDisease_UCI,K-PA,88,0.7143
HeartDisease_UCI,K-PA,89,0.6824
HeartDisease_UCI,K-PA,90,0.0000
HeartDisease_UCI,K-PA,91,0.7586
HeartDisease_UCI,K-PA,92,0.7901
HeartDisease_UCI,K-PA,93,0.0000
HeartDisease_UCI,K-PA,94,0.7273
HeartDisease_UCI,K-PA,95,0.7778
HeartDisease_UCI,K-PA,96,0.7179
HeartDisease_UCI,K-PA,97,0.7654
HeartDisease_UCI,K-PA,98,0.7912
HeartDisease_UCI,K-PA,99,0.8095
HeartDisease_UCI,K-PA,100,0.8293
HeartDisease_UCI,K-AROW,1,0.7381
HeartDisease_UCI,K-AROW,2,0.7470
HeartDisease_UCI,K-AROW,3,0.7436
HeartDisease_UCI,K-AROW,4,0.7000
HeartDisease_UCI,K-AROW,5,0.7654
HeartDisease_UCI,K-AROW,6,0.7209
HeartDisease_UCI,K-AROW,7,0.8046
HeartDisease_UCI,K-AROW,8,0.7848
HeartDisease_UCI,K-AROW,9,0.7816
HeartDisease_UCI,K-AROW,10,0.7013
HeartDisease_UCI,K-AROW,11,0.7692
HeartDisease_UCI,K-AROW,12,0.8000
HeartDisease_UCI,K-AROW,13,0.7442
HeartDisease_UCI,K-AROW,14,0.7447
HeartDisease_UCI,K-AROW,15,0.7579
HeartDisease_UCI,K-AROW,16,0.7857
HeartDisease_UCI,K-AROW,17,0.7838
HeartDisease_UCI,K-AROW,18,0.7356
HeartDisease_UCI,K-AROW,19,0.7273
HeartDisease_UCI,K-AROW,20,0.7727
HeartDisease_UCI,K-AROW,21,0.7595
HeartDisease_UCI,K-AROW,22,0.7123
HeartDisease_UCI,K-AROW,23,0.7895
HeartDisease_UCI,K-AROW,24,0.7250
HeartDisease_UCI,K-AROW,25,0.8043
HeartDisease_UCI,K-AROW,26,0.6750
HeartDisease_UCI,K-AROW,27,0.8817
HeartDisease_UCI,K-AROW,28,0.7733
HeartDisease_UCI,K-AROW,29,0.7727
HeartDisease_UCI,K-AROW,30,0.7500
HeartDisease_UCI,K-AROW,31,0.7317
HeartDisease_UCI,K-AROW,32,0.7470
HeartDisease_UCI,K-AROW,33,0.7436
HeartDisease_UCI,K-AROW,34,0.7941
HeartDisease_UCI,K-AROW,35,0.7500
HeartDisease_UCI,K-AROW,36,0.7857
HeartDisease_UCI,K-AROW,37,0.6667
HeartDisease_UCI,K-AROW,38,0.7561
HeartDisease_UCI,K-AROW,39,0.8276
HeartDisease_UCI,K-AROW,40,0.7407
HeartDisease_UCI,K-AROW,41,0.7442
HeartDisease_UCI,K-AROW,42,0.7826
